Names,Category,Time_Open,Link,Rating
Թաբուլե,Արևելյան,12:00 - 22:00,https://www.menu.am/restaurant/taboule.html,4.4
Ժենգյալով հաց,Հայկական,11:00 - 21:30,https://www.menu.am/restaurant/jengyalov-hats.html,4.3
Դան Դեսերտ,Քաղցրավենիք,11:00 - 19:00,https://www.menu.am/restaurant/dan-dessert.html,4.6
Սքուեր Ուան,"Անգլիական, Ամերիկյան",10:00 - 20:00,https://www.menu.am/restaurant/square-one.html,3.7
Բիրբուրգ Գարեջրատուն,Գարեջրատուն և Փաբ,12:00 - 23:00,https://www.menu.am/restaurant/beerburg-beer-house.html,3.4
Էնի Ռոուզ,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/any-rose.html,5
Քրամբս,"Բուրգեր և Սենդվիչ, Հացաբուլկեղեն",09:00 - 21:00,https://www.menu.am/restaurant/crumbs-mashtots.html,4.8
Բագետ էնդ Կո,Ֆրանսիական,09:00 - 19:00,https://www.menu.am/restaurant/baguette-and-co.html,4.3
Ֆլորեքս,Ծաղիկներ և Փուչիկներ,10:00 - 19:00,https://www.menu.am/restaurant/florex.html,5
Սմուզի,"Ֆրեշ, Պաղպաղակ",10:00 - 00:00,https://www.menu.am/restaurant/smoothie.html,3.4
Աբխազական գրիլ,"Հայկական, Վրացական",11:00 - 22:50,https://www.menu.am/restaurant/abkhazian-grill.html,4.3
Քրիստի Ծաղկի Սրահ,Ծաղիկներ և Փուչիկներ,08:00 - 00:00,https://www.menu.am/restaurant/qristi-flowers-salon.html,3.6
ՎՍ,"Գաստրոնոմ, Կիսաֆաբրիկատներ",11:00 - 18:00,https://www.menu.am/restaurant/vs.html,0
Ջազզվե Թու Գոու Կոֆի ,"Սուրճ և Թեյ, Ֆրեշ, Պաղպաղակ",10:00 - 23:00,https://www.menu.am/restaurant/jazzve-to-go-coffee.html,1
Բաֆֆլս Երևան Մոլլ,"Քաղցրավենիք, Ֆրեշ, Պաղպաղակ",12:00 - 22:00,https://www.menu.am/restaurant/baffles.html,5
Բուլդոգ,Ամերիկյան,11:00 - 00:00,https://www.menu.am/restaurant/bulldog.html,4.2
Ֆրեշ Հաուս,"Սուրճ և Թեյ, Ֆրեշ, Պաղպաղակ",12:00 - 21:00,https://www.menu.am/restaurant/fresh-house-opera.html,5
Տնակ Հացատուն,Հայկական,10:00 - 21:30,https://www.menu.am/restaurant/tavern-tnak.html,4
Կարաս Մաշտոցի 20,Հայկական,24 ժամ,https://www.menu.am/restaurant/karas-mashtots.html,4.3
Բլեք Անգուս,Ամերիկյան,09:00 - 04:00,https://www.menu.am/restaurant/black-angus.html,4.6
Բուրգեր Քինգ Հյուսիսային պողոտա,Ամերիկյան,10:00 - 22:00,https://www.menu.am/restaurant/burger-king-northern-ave.html,4.3
