,Vacancies,Companies,Deadlines,Locations,Individual Pages
338,Բժշկասոցիալական փորձաքննության գրասենյակի բժշկասոցիալական փորձաքննական բաժինների բժիշկ-փորձագետ ,ՀՀ աշխատանքի և սոցիալական հարցերի նախարարություն,31 July 2020,Yerevan,https://staff.am/en/bzskasocialakan-porjaknnutyan-grasenyaki-bzskasocialakan-porjaknnakan-bazinneri-bzisk-porjaget-2
339,Backend Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/backend-developer-31
340,Front-end Developer,Exsol LLC,16 July 2020,Yerevan,https://staff.am/en/front-end-developer-358
341,Product Owner,Synergy International Systems,16 July 2020,Yerevan,https://staff.am/en/product-owner-136
342,PR & SALES Manager,Decart studio,16 July 2020,Yerevan,https://staff.am/en/pr-sales-manager-4
343,Platform Engineer ,DISQO,16 July 2020,Yerevan,https://staff.am/en/platform-engineer-wgolang-2
344,"Engineering Manager, Mobile",DISQO,16 July 2020,Yerevan,https://staff.am/en/engineering-manager-mobile-6
345,Senior Full Stack Java Web Developer,Polixis,16 July 2020,Yerevan,https://staff.am/en/full-stack-java-developer
346,Հասարակայնության հետ կապերի մասնագետ,EcoVille LLC,05 July 2020,Yerevan,https://staff.am/en/hasarakaynutyan-het-kaperi-masnaget
347,Full-Stack Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,16 July 2020,Yerevan,https://staff.am/en/full-stack-developer-117
348,Նախագծային բաժնի ղեկավար,«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/naxagcayin-bazni-gekavar-2
349,"Ջերմագազամատակարարման և օդափոխության (HVAC) ճարտարագետ, նախագծող",«Վաելկոն» ՍՊԸ,16 July 2020,Yerevan,https://staff.am/en/jermagazamatakararman-ev-odapoxutyan-hvac-cartaraget-naxagcog
350,Unity 3D Team Lead,Digitain ,16 July 2020,Yerevan,https://staff.am/en/unity-3d-team-lead-1
351,Projects Implementation Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/projects-implementation-manager-6
352,B2B Account Manager,Digitain ,12 July 2020,Yerevan,https://staff.am/en/b2b-account-manager
353,Full Stack Web/WordPress Developer,NOORLOGIC LLC,15 July 2020,Yerevan,https://staff.am/en/full-stack-web-developer-86
354,IT Technical Support Specialist,Digitain ,15 July 2020,Yerevan,https://staff.am/en/it-technical-support-specialist-22
355,Technical Writer,SoftConstruct,15 July 2020,Yerevan,https://staff.am/en/technical-content-writer-3
356,Production manager,ASEDL LLC,15 July 2020,Yerevan,https://staff.am/en/production-manager-16
357,Senior Customer Care Specialist,Krisp,15 July 2020,Yerevan,https://staff.am/en/senior-customer-care-specialist-37
358,Sales Executive ,Synergy International Systems,15 July 2020,Yerevan,https://staff.am/en/sales-executive-11
359,Back-end Developer,Cypress,12 July 2020,Yerevan,https://staff.am/en/senior-nodejs-developer-60
360,Illustrator,Renderforest,15 July 2020,Yerevan,https://staff.am/en/illustrator-27
361,Chief Operating Officer,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/chief-operating-officer-6
362, Kubernetes/Spring Engineer,Rockbite Games,01 July 2020,Yerevan,https://staff.am/en/kubernetesspring-engineer
363, Technical Support Specialist,BlueNet,15 July 2020,Yerevan,https://staff.am/en/technical-support-specialist-108
364,Project Coordinator,Armenian Code Academy ,15 July 2020,Yerevan,https://staff.am/en/project-coordinator-36
365,Junior Digital Marketing Specialist,eworld,15 July 2020,Yerevan,https://staff.am/en/junior-digital-marketing-specialist-4
366,Senior Software Tester ,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-tester-1
367,Senior Software Developer,Macadamian AR,15 July 2020,Yerevan,https://staff.am/en/senior-software-developer-24
368,Media Planning Specialist,Digitain ,01 July 2020,Yerevan,https://staff.am/en/media-planning-specialist-5
369,Mid/Senior PHP Developer,WeemTech,15 July 2020,Yerevan,https://staff.am/en/midsenior-php-developer
370,Վաճառքի տնօրեն,Flash,15 July 2020,Yerevan,https://staff.am/en/vacarki-tnoren-4
371,1C System Developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/1c-system-developer-3
372,Տարածքային վաճառքի մենեջեր,360° ՇԻՆԲԱԶԱ,15 July 2020,Yerevan,https://staff.am/en/tarackayin-vacarki-menejer-1
373,Kotlin Software Engineer,Essential,15 July 2020,Yerevan,https://staff.am/en/senior-java-software-engineer-67
374,Շինարարության և գույքային ապահովման կազմակերպման պատասխանատու ,Digitain ,15 July 2020,Yerevan,https://staff.am/en/sinararutyan-ev-guykayin-apahovman-kazmakerpman-patasxanatu
375,Senior .NET Developer,VOLO,12 July 2020,Yerevan,https://staff.am/en/senior-net-developer-149
376,Web developer,IMEX GROUP,15 July 2020,Yerevan,https://staff.am/en/web-developer-104
377,Digital Marketing Specialist ,WIC WorldCom International ,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-210
378,User Acquisition Manager,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/user-acquisition-manager
379,Digital Marketing Specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-207
380,SMM specialist,Zoomerang,14 July 2020,Yerevan,https://staff.am/en/smm-specialist-327
381,Senior Front-End Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/senior-front-end-engineer-15
382,Lead Software Engineer,Ultralabs AM,13 July 2020,Yerevan,https://staff.am/en/lead-software-engineer-7
383,Customer Retention Manager,Adjarabet.am,15 July 2020,Yerevan,https://staff.am/en/casino-crm-9
384, Team Manager (m/f/d) Remote Management,TeamViewer Armenia,13 July 2020,Yerevan,https://staff.am/en/team-manager-mfd-remote-management
385,Full stack developer (Laravel+Vue.JS),Algorithm Solutions LLC,12 July 2020,Yerevan,https://staff.am/en/full-stack-developer-laravelvuejs
386,Chief Accountant,՞Հիմա՞ ՈՒՎԿ ՍՊԸ,01 July 2020,Yerevan,https://staff.am/en/chief-accountant-81
387,Technical Designer,Digitain ,12 July 2020,Yerevan,https://staff.am/en/technical-designer-10
388,Head of transport department,IMEX GROUP,12 July 2020,Yerevan,https://staff.am/en/head-of-transport-department-1
389,Ընդունարանի աշխատակից,Medline Clinic LLC,12 July 2020,Yerevan,https://staff.am/en/ndunarani-asxatakic-8
390,CFO ,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/cfo-7
391,Customer Care Manager,Haypost CJSC,12 July 2020,Yerevan,https://staff.am/en/customer-care-manager-2
392,Ֆինանսական վերլուծաբան,Yerevan Chocolate Company CJSC,12 July 2020,Yerevan,https://staff.am/en/finansakan-verlucaban-25
393,Technical Support Engineer ,National Instruments AM LLC,12 July 2020,Yerevan,https://staff.am/en/technical-support-engineer-40
394,Հաշվապահ,Անդակո ՍՊԸ,12 July 2020,Yerevan,https://staff.am/en/hasvapah-229
395,Senior IT Monitoring Specialist,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-it-monitoring-specialist-21
396,Senior DevOps Engineer ,Digitain ,12 July 2020,Yerevan,https://staff.am/en/senior-devops-engineer-37
397,Front End Developer (Mobile) ,Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-mobile
398,.Net Developer,RedKiteLLC,12  July 2020,Yerevan,https://staff.am/en/net-developer-142
399,Front End Developer (ATM Terminals),Telcell CJSC,12 July 2020,Yerevan,https://staff.am/en/front-end-developer-atm-terminals
400,Building Permit Technician,California Permits ,11 July 2020,Yerevan,https://staff.am/en/building-permit-technician-2
401,Marketing Specialist,California Permits ,11 July 2020,Los Angeles,https://staff.am/en/marketing-specialist-211
402,Sales Agent,Reload Freight,11 July 2020,Yerevan,https://staff.am/en/sales-agent-18
403,Client Success Representative,MoveCo Solutions Inc,11 July 2020,Yerevan,https://staff.am/en/client-success-representative-4
404,Միջազգային բեռնափոխադրումների մենեջեր,Fairyland Group,11 July 2020,Yerevan,https://staff.am/en/mijazgayin-bernapoxadrumneri-menejer-1
405,SMM Specialist,Haypost CJSC,11 July 2020,Yerevan,https://staff.am/en/smm-specialist-325
406,UI/UX designer ,Fast Shift LLC,11 July 2020,Yerevan,https://staff.am/en/uiux-designer-386
407,Senior Database Administrator,Ucom CJSC,11 July 2020,Yerevan,https://staff.am/en/senior-database-administrator-6
408,Full Stack Developer,ModelManagement,11 July 2020,Yerevan,https://staff.am/en/full-stack-developer-114
409,Իրավաբան,Digitain ,11 July 2020,Yerevan,https://staff.am/en/iravaban-71
410,Import Specialist,Մեգա Ֆուդ ՍՊԸ,11 July 2020,Yerevan,https://staff.am/en/import-specialist-28
